id,Hacked application,Have you succeeded in attacking the application?,Total time in minutes spent for the task,I spent the following time in minutes using a IDE:,I spent the following time in minutes using a debugger:,I spent the following time in minutes searching on the Internet:,The task was clear to me,There was enough time to perform the task,The task was easy to perform,I have used the following IDE:,I have used the following debugger:,I have spent most of the time:,assigned,edited by,discarded,Have you succeeded in attacking the application?.1,Step 1: type,"Step 1: asset name (function, variable, etc)",Step 2: type,"Step 2: asset name (function, variable, etc)",Step 3: type,"Step 3: asset name (function, variable, etc)",Step 4: type,"Step 4: asset name (function, variable, etc)",Step 5: type,"Step 5: asset name (function, variable, etc)",Step 6: type,"Step 6: asset name (function, variable, etc)",Step 7: type,"Step 7: asset name (function, variable, etc)",Step 8: type,"Step 8: asset name (function, variable, etc)",Step 9: type,"Step 9: asset name (function, variable, etc)",Step 10: type,"Step 10: asset name (function, variable, etc)",Step 11: type,"Step 11: asset name (function, variable, etc)",Step 12: type,"Step 12: asset name (function, variable, etc)",Step 13: type,"Step 13: asset name (function, variable, etc)",Step 14: type,"Step 14: asset name (function, variable, etc)",Step 15: type,"Step 15: asset name (function, variable, etc)",Step 16: type,"Step 16: asset name (function, variable, etc)",Step 17: type,"Step 17: asset name (function, variable, etc)",Step 18: type,"Step 18: asset name (function, variable, etc)",Step 19: type,"Step 19: asset name (function, variable, etc)",Step 20: type,"Step 20: asset name (function, variable, etc)"
90,tictactoe-1.1.zip,No,40,10,30,0,1,1,2,CLion,LLDB,Inspecting the execution by means of the debugger,AM,AM,,No,understand code logic,check(),recognize anomalous / unexpected behavior,check(),make hypothesis,check(),understand code logic,,confirm hypothesis,check,tamper with code statically,check,tamper with code statically,check,tamper with code statically,check,,,,,,,,,,,,,,,,,,,,,,,,
64,tictactoe-1.1.zip,Yes,40,20,20,0,1,1,2,Clion,Debugger integrato in Clion,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,funzione main(),identify assets by naming scheme,funzioni richiamate all'interno della funzione main(),identify points of attack,funzione check(),make hypothesis,funzione check(),tamper with code statically,funzione check(),analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,
16,tictactoe-1.1.zip,No,40,5,35,0,4,3,3,CodeBlocks,GDB,Inspecting the execution by means of the debugger,AM,AM,,No,prepare the environment,"done, main(), check() and get_player_move()",understand code logic,"main(), check() and get_player_move()",tamper with code statically,"main(), and get_player_move()",identify output generation,disp_matrix(),make hypothesis,main(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,arithmetic-1.1.zip,Yes,25,5,20,0,1,1,1,Code::Blocks,MinGW,Inspecting the execution by means of the debugger,AM,AM,,Yes,identify output generation,"main(), problem()",understand code logic,"problem(), left, op, right, result ",limit scope of attack,"problem(), result, tmp__3 ",tamper with code statically,,analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,number-1.1.zip,Yes,30,18,10,2,2,2,3,Visual Studio 2015,Visual Studio,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,make hypothesis,,understand code logic,number(),control flow graph reconstruction,"number(), len",understand code logic,,identify points of attack,number(),build the attack strategy,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,
139,tictactoe-1.1.zip,Yes,40,30,10,0,1,2,3,CodeBlocks,GDB,Reading and understanding the source code,AM,AM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,output,understand code logic,check(),build the attack strategy,return in check(),tamper with code statically,check,analyse attack result,,confirm hypothesis,output,,,,,,,,,,,,,,,,,,,,,,,,,,
92,tictactoe-1.1.zip,Yes,40,10,30,0,1,1,3,CodeBlocks,GCC,Reading and understanding the source code,AM,AM,,Yes,understand code logic,,prepare the environment,,make hypothesis,"Ho ipotizzato quale funzione potesse contenere il baco nel codice, e ho sperimentato con il debugger",understand code logic,,confirm hypothesis,check,limit scope of attack,,tamper with code statically,tmp,analyse attack result,"Ho provato più volte, con varie combinazioni che il codice funzionasse correttamente ",,,,,,,,,,,,,,,,,,,,,,,,
36,number-1.1.zip,Yes,30,5,25,0,1,1,2,CLion,Cygwin GDB,Inspecting the execution by means of the debugger,AM,AM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,make hypothesis,,identify output generation,,control flow graph reconstruction,,build the attack strategy,,limit scope of attack,number function,build workaround,number function,confirm hypothesis,,analyse attack result,,,,,,,,,,,,,,,,,,,,,
29,arithmetic-1.1.zip,No,40,15,25,0,2,4,2,CodeBlocks,GCC,Inspecting the execution by means of the debugger,AM,AM,,No,understand code logic,arithmetic.c,identify output generation,int problem(),make hypothesis,"int problem(), variabili left right result e op",tamper with data,int op,analyse attack result,,tamper with code statically,,analyse attack result,,make hypothesis on reasons for attack failure,int op,,,,,,,,,,,,,,,,,,,,,,,,
43,tictactoe-1.1.zip,No,40,10,30,0,4,3,2,Clion,,Inspecting the execution by means of the debugger,AM,AM,,No,recognize anomalous / unexpected behavior,,understand code logic,,recognize anomalous / unexpected behavior,,limit scope of attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,tictactoe-1.1.zip,Yes,35,10,20,5,3,3,3,codeBlocks,gdb,Changing the execution by means of the debugger,DL,DL,,Yes,understand code logic,,tamper with code statically,"function check , variable matrix ",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,arithmetic-1.1.zip,Yes,40,10,30,0,1,1,2,CLion,gdb,Inspecting the execution by means of the debugger,DL,DL,,Yes,make hypothesis,tmp___2,make hypothesis,result,make hypothesis,if statement,tamper with code statically,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,number-1.1.zip,Yes,40,2,30,8,2,1,3,Code::Blocks,GDB,Inspecting the execution by means of the debugger,DL,DL,,Yes,understand code logic,,recognize anomalous / unexpected behavior,convert(line),identify output generation,convert(line),limit scope of attack,"int number(char const *p, int len)",make hypothesis,,tamper with code statically,name1,confirm hypothesis,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
112,tictactoe-1.1.zip,Yes,40,25,10,5,1,1,2,DEV-C++,TDM-GCC 4.9.2 64-bit Debug,Inspecting the execution by means of the debugger,DL,DL,,Yes,recognize anomalous / unexpected behavior,,control flow graph reconstruction,,identify output generation,main function,prepare the environment,,identify points of attack,main function,understand code logic,Check function,limit scope of attack,check function,tamper with code statically,check function,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
1,arithmetic-1.1.zip,Yes,30,10,20,0,5,4,4,Xcode,gdb,Inspecting the execution by means of the debugger,DL,DL,,Yes,recognize anomalous / unexpected behavior,,identify points of attack,problem(),limit scope of attack,result,limit scope of attack,tmp___3,tamper with code statically,result,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,arithmetic-1.1.zip,Yes,30,15,15,0,1,2,2,CodeBlocks,GDB/CDB,Inspecting the execution by means of the debugger,DL,DL,,Yes,prepare the environment,,control flow graph reconstruction,,understand code logic,,recognize anomalous / unexpected behavior,,identify output generation,problem,identify points of attack,result,make hypothesis,result,tamper with code statically,result,confirm hypothesis,result,,,,,,,,,,,,,,,,,,,,,,
68,tictactoe-1.1.zip,Yes,20,5,15,0,1,1,2,Dev C++,TDM-GCC 4.9.2 64 bit,Inspecting the execution by means of the debugger,DL,DL,,Yes,identify output generation,printf,identify points of attack,check function,understand code logic,,build the attack strategy,,tamper with data,Change the value of tmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,tictactoe-1.1.zip,No,30,10,20,0,2,4,4,CLION ,GDB,Inspecting the execution by means of the debugger,DL,DL,,No,tamper with code statically,matrix[x][y],analyse attack result,matrix[x][y],evaluate and select alternative step / revise attack strategy,matrix[x][y],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,number-1.1.zip,No,40,20,20,0,2,3,3,CLion,Clion (Cywin64),Inspecting the execution by means of the debugger,DL,DL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,recognize anomalous / unexpected behavior,convert(line),understand code logic,"encoder(88, encodeStrings_litStr88)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,number-1.1.zip,Yes,5,5,0,0,3,4,3,clion ,i didn't use a debugger,Reading and understanding the source code,DL,DL,,Yes,control flow graph reconstruction,main,recognize anomalous / unexpected behavior,numbers.c,tamper with code statically,"int number (char const *p, int len)",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,number-1.1.zip,No,40,10,30,0,2,4,5,CLion,CLion Integrated Debugger,Inspecting the execution by means of the debugger,DL,DL,,No,understand code logic,"""convert"" function",understand code logic,"""encode"" function",tamper with data,"""line"" variable",recognize anomalous / unexpected behavior,"""unit"" function",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,number-1.1.zip,Yes,32,25,7,0,1,1,2,CLion,debugger incluso in CLion,Inspecting the execution by means of the debugger,DL,DL,,Yes,recognize anomalous / unexpected behavior,esecuzione del programma con variabili in input con numero di cifredifferenti,make hypothesis,"int unit(int len, char const *p)",limit scope of attack,"funzione number, case 1 dello switch case",tamper with code statically,funzione number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,number-1.1.zip,No,40,8,30,2,1,2,4,Code Blocks,Gdb,Inspecting the execution by means of the debugger,DL,DL,,No,prepare the environment,,recognize anomalous / unexpected behavior,Convert(Line),identify points of attack,Convert(Line),analyse attack result,convert(Line),understand code logic,tmp_0,identify output generation,"tmp= strchr((char const *) (Line), '\n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,tictactoe-1.1.zip,No,40,0,40,0,1,2,1,clion and shell,,Changing the execution by means of the debugger,DL,DL,,No,understand code logic,,understand code logic,Debug Main,recognize anomalous / unexpected behavior,check function,understand code logic,done ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,tictactoe-1.1.zip,Yes,40,15,25,0,1,3,2,CLion,CLion integrated debugger,Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,done,limit scope of attack,check(),build the attack strategy,,tamper with code statically,return variables,analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,number-1.1.zip,No,40,20,20,0,3,2,2,codeblocks,I used codeblocks to debug the application,Inspecting the execution by means of the debugger,DS,DS,,No,understand code logic,main,control flow graph reconstruction,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,tictactoe-1.1.zip,Yes,30,5,25,0,2,3,3,CLion,gdb,Inspecting the execution by means of the debugger,DS,DS,,Yes,understand code logic,,limit scope of attack,check,make hypothesis,matrix,understand code logic,check,control flow graph reconstruction,variabili come matrix,tamper with code statically,,analyse attack result,main,,,,,,,,,,,,,,,,,,,,,,,,,,
125,number-1.1.zip,No,40,15,25,0,3,5,3,clono,LLDB,Inspecting the execution by means of the debugger,DS,DS,,No,understand code logic,number,understand code logic,main ,identify points of attack,number,tamper with code statically,number ,tamper with code statically,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,arithmetic-1.1.zip,Yes,20,5,15,0,1,1,2,Code::Blocks,GDB,Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,none,recognize anomalous / unexpected behavior,"main
",understand code logic,,identify output generation,problem,recognize anomalous / unexpected behavior,problem,tamper with code statically,problem,analyse attack result,problem,,,,,,,,,,,,,,,,,,,,,,,,,,
72,arithmetic-1.1.zip,Yes,25,10,15,0,1,1,2,Code::Blocks 17.12,gdb in Code::Blocks,Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,,understand code logic,int problem(void);,limit scope of attack,int problem(void),understand code logic,result variable in input,make hypothesis,,tamper with code statically,"""if"" statement condition inside ""int problem(void)"" function",analyse attack result,int problem(void),,,,,,,,,,,,,,,,,,,,,,,,,,
138,tictactoe-1.1.zip,Yes,30,10,20,0,1,2,2,CodeBlocks,gdb,Inspecting the execution by means of the debugger,DS,DS,,Yes,recognize anomalous / unexpected behavior,,understand code logic,,limit scope of attack,,understand code logic,,build the attack strategy,,tamper with code statically,check,tamper with code statically,get_player_move,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
33,number-1.1.zip,Yes,21,14,7,0,1,1,1,Visual Studio 2019,Local Windows Debugger (integrated in VS),Inspecting the execution by means of the debugger,DS,DS,,Yes,recognize anomalous / unexpected behavior,,control flow graph reconstruction,"functions : convert, unit, number variables: p,len, line ",identify output generation,"variable: *p, len in func number",make hypothesis,,tamper with code statically,,confirm hypothesis,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,number-1.1.zip,Yes,15,5,10,0,5,5,5,Visual studio 2008,Debugger windows locale (default),Inspecting the execution by means of the debugger,DS,DS,,Yes,recognize anomalous / unexpected behavior,function,control flow graph reconstruction,function,evaluate and select alternative step / revise attack strategy,,limit scope of attack,variable,tamper with code statically,function,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,arithmetic-1.1.zip,Yes,20,5,15,0,2,1,2,Code::Blocks 16.01,GDB (inside the IDE),Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,,identify points of attack,problem(),understand code logic,result,understand code logic,tmp___3,identify points of attack,tmp___3,tamper with execution,,tamper with code statically,tmp___3,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
96,arithmetic-1.1.zip,Yes,40,10,30,0,2,2,2,Clion,integrated in clion,Inspecting the execution by means of the debugger,DS,DS,,Yes,understand code logic,"left,right,result,tmp___3",understand code logic,"encodeStrings_litStr3, tmp__2",make hypothesis,,confirm hypothesis,"tmp___3,result",recognize anomalous / unexpected behavior,"tmp___3,result",tamper with code statically,"tmp___3, result",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,tictactoe-1.1.zip,Yes,38,25,12,1,1,3,2,Xcode,Quello integrato in Xcode,Reading and understanding the source code,DS,DS,,Yes,understand code logic,tutto,identify output generation,,recognize anomalous / unexpected behavior,,make hypothesis,funzione check,confirm hypothesis,funzione check,tamper with code statically,funzione check,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,tictactoe-1.1.zip,No,40,5,35,0,4,3,2,Clion,Bundled LLDB,Inspecting the execution by means of the debugger,DM,DM,,No,recognize anomalous / unexpected behavior,check(),understand code logic,check(),make hypothesis,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,tictactoe-1.1.zip,Yes,35,5,30,0,5,5,4,Visual Studio Code,gdb,Inspecting the execution by means of the debugger,DM,DM,,Yes,recognize anomalous / unexpected behavior,,control flow graph reconstruction,,identify points of attack,check(),understand code logic,matrix[x][y],make hypothesis,matrix[][],tamper with code statically,matrix[][],analyse attack result,matrix[][],confirm hypothesis,check(),,,defeat protection,,,,,,,,,,,,,,,,,,,,,
44,tictactoe-1.1.zip,Yes,30,20,10,0,2,1,1,Visual Studio 2015,Local Windows Debugger,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,understand code logic,,understand code logic,main,control flow graph reconstruction,check,tamper with code statically,matrix,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,tictactoe-1.1.zip,Yes,10,5,5,0,1,1,1,CLion,GDB,Inspecting the execution by means of the debugger,DM,DM,,Yes,recognize anomalous / unexpected behavior,,understand code logic,"get_player_move(), check(), get_computer_move(), display_matrix(). Variable: matrix",control flow graph reconstruction,,understand code logic,matrix,limit scope of attack,"matrix, chek()",identify points of attack,"check(), matrix",tamper with code statically,,analyse attack result,"matrix, check()",assess effort,,,,,,,,,,,,,,,,,,,,,,,
83,number-1.1.zip,Yes,40,18,20,2,5,4,4,Code::Block 13.12,GDB/CDB,Inspecting the execution by means of the debugger,DM,DM,,Yes,understand code logic,,control flow graph reconstruction,,recognize anomalous / unexpected behavior,,identify output generation,,limit scope of attack,number,make hypothesis,number,tamper with code statically,number,analyse attack result,,confirm hypothesis,number,,,,,,,,,,,,,,,,,,,,,,
149,tictactoe-1.1.zip,No,40,35,5,0,2,4,3,DevC++,The one in DevC++,Inspecting the execution by means of the debugger,DM,DM,,No,identify output generation,tictactoe,recognize anomalous / unexpected behavior,tictactoe,understand code logic,main,make hypothesis,done,identify points of attack,check,tamper with code statically,done,make hypothesis,matrix,understand code logic,check,understand code logic,encoder,,,,,,,,,,,,,,,,,,,,,,
89,tictactoe-1.1.zip,Yes,30,15,15,0,2,2,3,CLion,CLion debugger,Reading and understanding the source code,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,"check, get_player_move, get_computer_move",identify output generation,main ,limit scope of attack,check,make hypothesis on protection,check,tamper with code statically,"check, matrix",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
59,number-1.1.zip,No,40,15,20,5,5,4,2,CodeBlocks,Integrated in CodeBlocks,Inspecting the execution by means of the debugger,DM,DM,,No,recognize anomalous / unexpected behavior,"int number(char const *p, int len)",understand code logic,name1[(int const) *p - 47]);,tamper with code statically,name1[(int const) *p - 47]);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,arithmetic-1.1.zip,Yes,35,10,25,0,3,1,2,CLion,integrato,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,"problem function, tmp__3 and result variable",identify points of attack,problem function on line 280,tamper with code statically,problem function on line 280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,arithmetic-1.1.zip,Yes,38,10,25,3,1,1,2,Visual Studio 2019,Integrated in IDE,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,understand code logic,,identify points of attack,problem(),understand code logic,problem(),tamper with code statically,problem():281,analyse attack result,problem(),,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,arithmetic-1.1.zip,Yes,31,10,20,1,1,1,1,CodeBlocks,gcc (in the IDE),Inspecting the execution by means of the debugger,DM,DM,,Yes,identify output generation,function,understand code logic,function,tamper with code statically,condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,arithmetic-1.1.zip,No,20,15,5,0,5,4,3,CodeBlocks,CodBlocks debugger ,Reading and understanding the source code,DM,DM,,No,prepare the environment,,recognize anomalous / unexpected behavior,problem() function,make hypothesis on protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,number-1.1.zip,Yes,15,5,10,0,1,1,3,CodeBlocks,GDB,Reading and understanding the source code,LS,LS,,Yes,prepare the environment,"CodeBlocks, GDB",understand code logic,,recognize anomalous / unexpected behavior,,identify points of attack,,tamper with data,number,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,arithmetic-1.1.zip,Yes,30,5,25,0,1,1,2,Clion,Bundled gdb,Inspecting the execution by means of the debugger,LS,LS,,Yes,prepare the environment, ,recognize anomalous / unexpected behavior,,make hypothesis,,limit scope of attack,,understand code logic,,identify points of attack,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
133,tictactoe-1.1.zip,Yes,35,15,20,0,1,1,2,Codeblocks,gdb,Inspecting the execution by means of the debugger,LS,LS,,Yes,understand code logic,,recognize anomalous / unexpected behavior,,limit scope of attack,check ,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,arithmetic-1.1.zip,Yes,17,1,15,1,2,2,2,Codeblocks + vscode,gdb,Inspecting the execution by means of the debugger,LS,LS,,Yes,identify output generation,function,understand code logic,values,limit scope of attack,functions,tamper with code statically,if statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,tictactoe-1.1.zip,Yes,40,25,15,0,4,4,3,Clion,LLDB,Inspecting the execution by means of the debugger,LS,LS,,Yes,recognize anomalous / unexpected behavior,check(),tamper with code statically,getChar ,analyse attack result,encoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,tictactoe-1.1.zip,Yes,26,10,16,0,1,1,3,CLion,Integrated CLion dbg,Inspecting the execution by means of the debugger,LS,LS,,Yes,understand code logic,Check() ,make hypothesis,Check(),tamper with code statically,,analyse attack result,check(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,arithmetic-1.1.zip,Yes,15,2,13,0,1,1,1,CLion,gdb,Inspecting the execution by means of the debugger,LS,LS,,Yes,recognize anomalous / unexpected behavior,main,make hypothesis,"main, *p and result",tamper with code statically,"main, *p and result",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,tictactoe-1.1.zip,No,40,10,30,0,2,3,3,CLion,CLion,Reading and understanding the source code,LS,LS,,No,identify output generation,main,understand code logic,check,identify output generation,get_computer_move,analyse attack result,get_computer_move,make hypothesis,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,arithmetic-1.1.zip,No,40,20,20,0,2,4,2,CLION,GDB,Reading and understanding the source code,LS,LS,,No,recognize anomalous / unexpected behavior,,understand code logic,convert,understand code logic,p,understand code logic,line,tamper with code statically,,make hypothesis,,tamper with code statically,line,evaluate and select alternative step / revise attack strategy,,understand code logic,,,,,,,,,,,,,,,,,,,,,,,
141,arithmetic-1.1.zip,Yes,35,3,32,0,1,2,2,CLion,GDB,Inspecting the execution by means of the debugger,LM,LM,,Yes,recognize anomalous / unexpected behavior,,understand code logic,problem(),make hypothesis,,tamper with code statically,problem(),confirm hypothesis,problem(),tamper with code statically,problem(),analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,tictactoe-1.1.zip,Yes,35,5,30,0,1,2,2,Visual Studio 2019,VS debugger,Inspecting the execution by means of the debugger,LM,LM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,,limit scope of attack,check(),tamper with data,tmp,tamper with code statically,matrix,analyse attack result,tmp___0,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
46,tictactoe-1.1.zip,No,40,30,10,0,1,4,5,Visual Studio,debugger integrated in Visual Studio,Reading and understanding the source code,LM,LM,,No,prepare the environment,,identify output generation,main,understand code logic,"get_player_move, get_computer_move, check",recognize anomalous / unexpected behavior,"get_player_move, get_computer_move, check",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,number-1.1.zip,No,40,10,30,0,4,2,3,clion,clion,Inspecting the execution by means of the debugger,LM,LM,,No,control flow graph reconstruction,,understand code logic,convert(),recognize anomalous / unexpected behavior,convert(),tamper with code statically,len,make hypothesis,convert(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,number-1.1.zip,Yes,30,5,25,0,1,2,2,CLion,LLDB,Inspecting the execution by means of the debugger,LM,LM,,Yes,recognize anomalous / unexpected behavior,,understand code logic,convert(),identify points of attack,tmp___0,limit scope of attack,unit(),limit scope of attack,number(),identify output generation,len ,tamper with code statically,,analyse attack result,printf,,,,,,,,,,,,,,,,,,,,,,,,
60,number-1.1.zip,No,40,10,30,0,1,3,2,CLion 2019.1,Integrato,Inspecting the execution by means of the debugger,LM,LM,,No,recognize anomalous / unexpected behavior,,identify output generation,"tmp, p",tamper with code statically,"__Cont, badnum, p ",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,arithmetic-1.1.zip,Yes,40,5,35,0,1,3,3,CLion,GDB inside CLion,Inspecting the execution by means of the debugger,LM,LM,,Yes,recognize anomalous / unexpected behavior,,identify output generation,problem function,understand code logic,"problem function, result variable",tamper with code statically,problem function,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,number-1.1.zip,Yes,40,10,30,0,1,3,4,CLION,GDB,Inspecting the execution by means of the debugger,MS,MS,,Yes,identify output generation,main(),identify output generation,number(),make hypothesis,number(),understand code logic,number(),recognize anomalous / unexpected behavior,"printf((char const *) (encodeStrings_litStr75),                        name1[(int const) *p - 48]);",tamper with code statically,number(),analyse attack result,number(),tamper with code statically,number,analyse attack result,number(),,,,,,,,,,,,,,,,,,,,,,
85,number-1.1.zip,Yes,35,10,20,5,5,5,4,Visual Studio 2019,Visual Studio,Inspecting the execution by means of the debugger,MS,MS,,Yes,prepare the environment,,understand code logic,,recognize anomalous / unexpected behavior,,limit scope of attack,,confirm hypothesis,,identify points of attack,"number, p",tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,tictactoe-1.1.zip,No,40,10,30,0,5,4,3,Visual Studio 2019,35,Inspecting the execution by means of the debugger,MS,MS,,No,prepare the environment,,understand code logic,check(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,arithmetic-1.1.zip,No,40,10,30,0,4,2,3,CLion,gdb,Inspecting the execution by means of the debugger,MS,MS,,No,understand code logic,"main(), convert(line)",recognize anomalous / unexpected behavior,convert(line),understand code logic,"convert(line),rval,faction,p",make hypothesis,line,confirm hypothesis,"convert(),line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,tictactoe-1.1.zip,No,40,25,15,0,1,3,4,,gdb,Reading and understanding the source code,MS,MS,,No,understand code logic,int main(),tamper with code statically,get_computer_move(),analyse attack result,get_computer_move(),tamper with code statically,get_player_move(),analyse attack result,int main(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,arithmetic-1.1.zip,Yes,30,5,25,0,1,1,1,CodeBlocks,MInGW32 gdb,Inspecting the execution by means of the debugger,MS,MS,,Yes,recognize anomalous / unexpected behavior,,identify output generation,,understand code logic,problem,make hypothesis,problem,tamper with code statically,problem,analyse attack result,,make hypothesis,problem,confirm hypothesis,problem,tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,
87,tictactoe-1.1.zip,Yes,40,5,35,0,1,2,2,Visual Studio 2019,Visual Studio debugger,Inspecting the execution by means of the debugger,MS,MS,,Yes,prepare the environment,main,identify output generation,getComputermove,identify output generation,check,make hypothesis,check,understand code logic,getComputerMove,understand code logic,check,confirm hypothesis,tmp,tamper with code statically,check,analyse attack result,check,,,,,,,,,,,,,,,,,,,,,,
105,number-1.1.zip,Yes,40,2,36,2,1,1,2,CodeBlocks 16,GNU GCC,Inspecting the execution by means of the debugger,MS,MS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,number,tamper with code statically,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,arithmetic-1.1.zip,No,40,10,25,5,3,3,4,CLion,Bundled GDB,Inspecting the execution by means of the debugger,MS,MS,,No,prepare the environment,,identify output generation,problem,understand code logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,tictactoe-1.1.zip,Yes,30,5,25,0,1,1,2,Clion,GDB,Inspecting the execution by means of the debugger,MS,MS,,Yes,understand code logic,,limit scope of attack,check(),tamper with code statically,tmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,number-1.1.zip,Yes,40,5,35,0,4,3,4,CLion,Debugger integrato,Inspecting the execution by means of the debugger,MS,MS,,Yes,identify output generation,"int number(char const *p, int len) -->  name1[(int const) *p - 48]);",understand code logic,,tamper with code statically,,,,,,tamper with code statically,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,tictactoe-1.1.zip,Yes,35,10,25,0,1,2,3,CLion,GDB,Inspecting the execution by means of the debugger,MS,MS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,,tamper with code statically,,identify points of attack,check(),tamper with code statically,check(),,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,arithmetic-1.1.zip,Yes,30,5,22,3,5,5,4,CodeBlocks,GDB Integrato,Inspecting the execution by means of the debugger,MS,MS,,Yes,identify output generation,function problem(),make hypothesis,variable result and tmp___3,recognize anomalous / unexpected behavior,,confirm hypothesis,variable result and tmp___3,tamper with code statically,result & 4039822362U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
