id,Hacked application,Total time in minutes spent for the task,I spent the following time in minutes using a IDE:,I spent the following time in minutes using a debugger:,I spent the following time in minutes searching on the Internet:,The task was clear to me,There was enough time to perform the task,The task was easy to perform,I have used the following IDE:,I have used the following debugger:,I have spent most of the time:,assigned,edited by,discarded,Have you succeeded in attacking the application?,Step 1: type,"Step 1: asset name (function, variable, etc)",Step 2: type,"Step 2: asset name (function, variable, etc)",Step 3: type,"Step 3: asset name (function, variable, etc)",Step 4: type,"Step 4: asset name (function, variable, etc)",Step 5: type,"Step 5: asset name (function, variable, etc)",Step 6: type,"Step 6: asset name (function, variable, etc)",Step 7: type,"Step 7: asset name (function, variable, etc)",Step 8: type,"Step 8: asset name (function, variable, etc)",Step 9: type,"Step 9: asset name (function, variable, etc)",Step 10: type,"Step 10: asset name (function, variable, etc)",Step 11: type,"Step 11: asset name (function, variable, etc)",Step 12: type,"Step 12: asset name (function, variable, etc)",Step 13: type,"Step 13: asset name (function, variable, etc)",Step 14: type,"Step 14: asset name (function, variable, etc)",Step 15: type,"Step 15: asset name (function, variable, etc)",Step 16: type,"Step 16: asset name (function, variable, etc)",Step 17: type,"Step 17: asset name (function, variable, etc)",Step 18: type,"Step 18: asset name (function, variable, etc)",Step 19: type,"Step 19: asset name (function, variable, etc)",Step 20: type,"Step 20: asset name (function, variable, etc)"
68,number-3.4.zip,37,10,27,0,1,1,2,Dev C++,TDM-GCC 4.9.2,Inspecting the execution by means of the debugger,DL,DL,,Yes,control flow graph reconstruction,,identify output generation,convert() function,understand code logic,convert(),control flow graph reconstruction,unit(),control flow graph reconstruction,number(),identify output generation,case 52 (printf),understand code logic,name1[] vector,tamper with code statically,,analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,
18,number-3.3.zip,70,45,20,5,1,4,4,CLion,Cygwin,Reading and understanding the source code,DL,DL,,No,prepare the environment,,understand code logic,,recognize anomalous / unexpected behavior,,make hypothesis,,assess effort,,tamper with code statically,,analyse attack result,,recognize similarity with already analysed protected application,,,,,,,,,,,,,,,,,,,,,,,,,
114,number-3.4.zip,50,15,35,0,1,1,2,CLION,GDB,Inspecting the execution by means of the debugger,DL,DL,,Yes,prepare the environment,,identify output generation,unit,identify output generation,number,build the attack strategy,name1,tamper with code statically,name1,analyse attack result,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,arithmetic-3.4.zip,65,15,50,0,2,2,5,clion,cygwin64,Inspecting the execution by means of the debugger,DL,DL,,No,prepare the environment,,recognize anomalous / unexpected behavior,,identify output generation,tmp___0 = problem(),make hypothesis,problem(),understand code logic,_6_problem_next,make hypothesis,_3_problem_next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,tictactoe-3.4.zip,60,25,25,10,3,2,1,clion,gdb,Inspecting the execution by means of the debugger,DL,DL,,Yes,recognize anomalous / unexpected behavior,main,control flow graph reconstruction,main,make hypothesis,void check(void),tamper with code statically,void check(void),analyse attack result,,confirm hypothesis,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,tictactoe-3.4.zip,70,30,40,0,3,5,5,Codeblocks,gdb,Inspecting the execution by means of the debugger,DL,DL,,No,recognize anomalous / unexpected behavior,,identify assets by naming scheme,,recognize similarity with already analysed protected application,,understand code logic,,understand code logic,encodeStrings_litStr5,evaluate and select alternative step / revise attack strategy,,assess effort,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,tictactoe-3.4.zip,60,15,45,0,3,3,3,CLion,CLion Integrated Debugger,Inspecting the execution by means of the debugger,DL,DL,,Yes,understand code logic,"function ""get_player_move""",understand code logic,"function ""check""",tamper with data,"variable ""done""",tamper with code statically,"function ""check""",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,tictactoe-3.3.zip,19,14,5,0,3,2,2,Clion,integrato in Clion,Reading and understanding the source code,DL,DL,,Yes,prepare the environment,,limit scope of attack,"funzione check,variabile done",make hypothesis,switch case su _5_check_next,tamper with code statically,,analyse attack result,,make hypothesis,,tamper with code statically,matrix[0][2],analyse attack result,,confirm hypothesis,matrix[][],,,,,,,,,,,,,,,,,,,,,,
102,tictactoe-3.4.zip,50,3,47,0,1,1,2,Code Blocks,gdb,Inspecting the execution by means of the debugger,DL,DL,,Yes,prepare the environment,,identify points of attack,check(),limit scope of attack,done,build the attack strategy,done,analyse attack result,matrix,understand code logic,matrix,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
150,number-3.3.zip,70,5,65,0,2,2,2,clion,clion,Changing the execution by means of the debugger,DL,DL,,No,understand code logic,convert,tamper with code statically,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,number-3.4.zip,70,5,65,0,1,3,5,CLion,Integrated Clion debugger + gdb (IMPORTANT NOTE: I used gdb also for the other 2 tasks but I forgot to mention it!),Inspecting the execution by means of the debugger,DS,DS,,No,prepare the environment,,recognize anomalous / unexpected behavior,,identify points of attack,convert(),limit scope of attack,convert(),understand code logic,,make hypothesis,,understand code logic,"convert, number",,,,,,,,,,,,,,,,,,,,,,,,,,
13,arithmetic-3.4.zip,70,30,30,10,5,5,5,Codeblocks,Codeblocks debugger ,Reading and understanding the source code,DS,DS,,No,understand code logic,Whole program,control flow graph reconstruction,"""problem"" function",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,tictactoe-3.3.zip,70,15,55,0,3,2,2,Xcode,Xcode debugger,Changing the execution by means of the debugger,DS,DS,Yes,Yes,prepare the environment,,reuse attack strategy that worked in the past,,recognize anomalous / unexpected behavior,,make hypothesis,,tamper with execution,I have modified variables in 'check' function,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,number-3.3.zip,20,5,15,0,3,1,4,CLion,gdb,Inspecting the execution by means of the debugger,DS,DS,,Yes,recognize anomalous / unexpected behavior,,make hypothesis,,control flow graph reconstruction,Convert,understand code logic,,confirm hypothesis,name1,tamper with code statically,,analyse attack result,name1 fix,,,,,,,,,,,,,,,,,,,,,,,,,,
125,tictactoe-3.4.zip,60,15,45,0,4,5,2,Clion,DDLB,Inspecting the execution by means of the debugger,DS,DS,Yes,No,understand code logic,main,understand code logic,init_matrix,understand code logic,check,understand code logic,get_player_move,understand code logic,get_computer_move,tamper with code statically,main,tamper with code statically,check,tamper with data,tmp,tamper with data,tmp___1,,,,,,,,,,,,,,,,,,,,,,
118,tictactoe-3.4.zip,50,20,30,0,1,1,3,Code::Blocks,GDB,Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,none,recognize anomalous / unexpected behavior,none,reuse attack strategy that worked in the past,none,understand code logic,main,limit scope of attack,main,understand code logic,get_player_move,limit scope of attack,get_player_move,understand code logic,get_computer_move,limit scope of attack,get_computer_move,understand code logic,check,make hypothesis,check,control flow graph reconstruction,"check, _6_check_next, _3_check_next",tamper with code statically,tmp,tamper with code statically,tmp___0,tamper with code statically,matrix,analyse attack result,check,,,,,,,,
39,tictactoe-3.2.zip,70,5,65,0,1,3,4,CodeBlocks,GDB,Changing the execution by means of the debugger,DS,DS,,No,understand code logic,,control flow graph reconstruction,,limit scope of attack,check(),identify output generation,,make hypothesis,,tamper with code statically,,analyse attack result,,evaluate and select alternative step / revise attack strategy,,,,,,,,,,,,,,,,,,,,,,,,,
72,tictactoe-3.4.zip,55,10,45,0,3,3,4,Code::Blocks 17.12,gdb integrated in Code:Blocks,Inspecting the execution by means of the debugger,DS,DS,Yes,Yes,prepare the environment,,understand code logic,,control flow graph reconstruction,,limit scope of attack,char check(void) function,make hypothesis,,build the attack strategy,,analyse attack result,,evaluate and select alternative step / revise attack strategy,,defeat protection,,assess effort,,,,,,,,,,,,,,,,,,,,,
6,number-3.4.zip,40,20,20,0,1,1,3,CLion,MinGW,Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,,understand code logic,,make hypothesis,,limit scope of attack,Convert(line); function,understand code logic,,make hypothesis,,limit scope of attack,goto __cont;,control flow graph reconstruction,,identify assets by naming scheme,,analyse attack result,,tamper with code statically,name1[(int const) *p - 48]);,analyse attack result,,,,,,,,,,,,,,,,,
138,number-3.4.zip,50,20,30,0,2,1,2,CodeBlocks,gdb,Inspecting the execution by means of the debugger,DS,DS,,Yes,understand code logic,,recognize anomalous / unexpected behavior,,recognize similarity with already analysed protected application,,build the attack strategy,,limit scope of attack,convert,evaluate and select alternative step / revise attack strategy,,identify assets by naming scheme,unit,identify output generation,,understand code logic,number,build the attack strategy,number,assess effort,p,understand code logic,name1,identify points of attack,name1,tamper with code statically,name1,analyse attack result,,,,,,,,,,,
33,tictactoe-3.4.zip,48,10,38,0,1,1,3,Visual Studio 2019,Local Windows debugger (integrated in VS),Inspecting the execution by means of the debugger,DS,DS,,Yes,recognize anomalous / unexpected behavior,,prepare the environment,"check(), get_player_move(), get_computer_move()",recognize similarity with already analysed protected application,,reuse attack strategy that worked in the past,,understand code logic,,make hypothesis on protection,,control flow graph reconstruction,,identify points of attack,"done, check()",make hypothesis,,build the attack strategy,,tamper with code statically,"check(), matrix, tmp, tmp___0",confirm hypothesis,,analyse attack result,,,,,,,,,,,,,,,
128,arithmetic-3.2.zip,37,15,22,0,5,5,5,Visual studio 2008,Debugger WIndows locale (default),Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,problem,identify output generation,Result,recognize anomalous / unexpected behavior,result,control flow graph reconstruction,Problem,tamper with execution,problem,tamper with code statically,Problem,,,,,,,,,,,,,,,,,,,,,,,,,,
120,number-3.2.zip,23,7,16,0,1,1,1,Code::Blocks 16.01,GDB (inside the ide),Inspecting the execution by means of the debugger,DS,DS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,main,make hypothesis,convert,understand code logic,convert,make hypothesis,unit,identify output generation,unit,identify points of attack,number,identify output generation,unit,make hypothesis,name1,tamper with code statically,name1,confirm hypothesis,name1,analyse attack result,,,,,,,,,,,,,,,
81,arithmetic-3.3.zip,70,12,58,0,1,2,2,Visual Studio,Visual Studio,Inspecting the execution by means of the debugger,DS,DS,,No,prepare the environment,,understand code logic,main,identify output generation,,recognize anomalous / unexpected behavior,,understand code logic,problem,control flow graph reconstruction,problem,understand code logic,_5_problem_next,understand code logic,temp_3,recognize anomalous / unexpected behavior,_5_problem_next,make hypothesis on protection,,,,,,,,,,,,,,,,,,,,,
96,number-3.3.zip,20,5,15,0,1,1,2,clion,integrated gdb,Reading and understanding the source code,DS,DS,,Yes,recognize anomalous / unexpected behavior,convert(),make hypothesis,"tmp___0,line",identify points of attack,convert,identify output generation,"convert,name1,p",confirm hypothesis,"name1,p",identify points of attack,convert,tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,number-3.4.zip,22,2,20,0,1,1,3,Xcode,Xcode integrato,Inspecting the execution by means of the debugger,DS,DS,,Yes,recognize anomalous / unexpected behavior,,make hypothesis,,identify points of attack,number,tamper with code statically,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,number-3.4.zip,50,10,40,0,2,4,4,Clion,Bundled LLDB,Inspecting the execution by means of the debugger,DM,DM,,No,recognize anomalous / unexpected behavior,,understand code logic,,identify output generation,,limit scope of attack,number(),make hypothesis,convert(),identify points of attack,convert(),tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
109,arithmetic-3.4.zip,65,10,55,0,5,2,1,VsCode,GDB,Inspecting the execution by means of the debugger,DM,DM,,No,understand code logic,,control flow graph reconstruction,,identify output generation,problem,limit scope of attack,penalise,make hypothesis,p,tamper with code statically,value,tamper with code statically,penalty,make hypothesis on reasons for attack failure,tmp,,,,,,,,,,,,,,,,,,,,,,,,
44,number-3.4.zip,55,45,5,5,1,1,1,Visual Studio 2015,Local Windows Debugger,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,control flow graph reconstruction,number,identify output generation,number,tamper with code statically,"number, printf, name1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,number-3.2.zip,30,15,13,2,1,1,3,CLion,GDB,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,make hypothesis,,understand code logic,,understand code logic,"temp___0, temp___2, encodeStrings_litStr[diversi valori], number()",understand code logic,,limit scope of attack,,identify points of attack,"number(), encodeStrings_litStr70",tamper with code statically,,confirm hypothesis,,analyse attack result,,,,,,,,,,,,,,,,,,,
83,arithmetic-3.4.zip,40,20,20,0,2,2,2,Code::Block 13.12,20,Reading and understanding the source code,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,control flow graph reconstruction,,identify output generation,problem,understand code logic,problem,understand code logic,tmp___3,tamper with code statically,result,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
149,arithmetic-3.4.zip,70,10,60,0,3,5,5,DevC++,DevC++ integrato,Inspecting the execution by means of the debugger,DM,DM,,No,recognize anomalous / unexpected behavior,,understand code logic,main,understand code logic,problem,control flow graph reconstruction,problem,understand code logic,problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,number-3.2.zip,33,12,20,1,1,1,3,CLion,CLion Debugger,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,identify output generation,"Convert,  unit, number",identify points of attack,Number,understand code logic,"Number, name1",make hypothesis on protection,"number,name1",tamper with code statically,"number, index of name1",analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,
59,arithmetic-3.4.zip,50,30,20,0,1,3,5,CodeBlocks,Integrated in CodeBlocks,Reading and understanding the source code,DM,DM,,No,understand code logic,problem(),tamper with code statically,"left, right, result, line, tmp___3",understand code logic,"problem(), result, left, right variables",limit scope of attack,problem(),understand code logic,problem(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,number-3.3.zip,25,10,15,0,1,1,2,Clion,integrato,Reading and understanding the source code,DM,DM,,Yes,prepare the environment,"name1, name2, name3",recognize anomalous / unexpected behavior,,understand code logic,convert,identify output generation,,understand code logic,number,limit scope of attack,,identify points of attack,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
51,number-3.2.zip,17,5,11,1,1,1,1,Visual Studio 2019,Integrated in IDE,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,,identify points of attack,"int number(char const *p, int len)",tamper with code statically,"int number(char const *p, int len)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,tictactoe-3.2.zip,50,10,40,0,3,2,4,CLion,integrato,Inspecting the execution by means of the debugger,DM,DM,Yes,Yes,control flow graph reconstruction,,build the attack strategy,check,analyse attack result,"provato le varie combinazioni possibili di tris (obliqua, orizzontale e verticale), in tutte e 3  si è ottenuta la vittoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,number-3.3.zip,24,2,22,0,1,1,2,CodeBlocks,gcc (in IDE),Inspecting the execution by means of the debugger,DM,DM,,Yes,understand code logic,,identify output generation,number,tamper with code statically,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,arithmetic-3.2.zip,65,15,50,0,2,4,3,CLion,integrated,Inspecting the execution by means of the debugger,DM,DM,,No,understand code logic,"int unit(int len, char const *p)",understand code logic,"int number(char const *p, int len)",tamper with code statically,line/p,analyse attack result,line/p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,tictactoe-3.4.zip,65,20,45,0,1,3,3,Clion,GDB,Inspecting the execution by means of the debugger,DM,DM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,build the attack strategy,,understand code logic,disp_matrix(),understand code logic,,make hypothesis on protection,,identify points of attack,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
97,number-3.2.zip,50,10,40,0,4,4,3,CodeBlocks,gdb,Inspecting the execution by means of the debugger,LS,LS,,Yes,recognize anomalous / unexpected behavior,,make hypothesis,,understand code logic,number,limit scope of attack,number,tamper with execution,_3_number_next,make hypothesis,name1,confirm hypothesis,name1,,,,,,,,,,,,,,,,,,,,,,,,,,
66,number-3.2.zip,15,10,5,0,4,5,5,CLion,gbd,Reading and understanding the source code,LS,LS,Yes,Yes,recognize anomalous / unexpected behavior,function strchr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,arithmetic-3.4.zip,70,15,50,5,2,5,5,CodeBlocks,GDB,Inspecting the execution by means of the debugger,LS,LS,,No,understand code logic,,control flow graph reconstruction,,identify points of attack,result,identify output generation,,make hypothesis,,understand code logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,tictactoe-3.4.zip,70,18,50,2,4,2,2,CodeLite,gdb,Inspecting the execution by means of the debugger,LS,LS,Yes,No,prepare the environment,,understand code logic,,identify output generation,,identify API calls,,identify assets by naming scheme,,identify points of attack,check,limit scope of attack,,make hypothesis,,tamper with code statically,check,recognize anomalous / unexpected behavior,,identify points of attack,,make hypothesis,,,,,,,,,,,,,,,,,
121,number-3.4.zip,65,25,40,0,1,2,4,Clion,bundled gdb,Inspecting the execution by means of the debugger,LS,LS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,limit scope of attack,,understand code logic,,limit scope of attack,name1,tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,arithmetic-3.4.zip,70,20,50,0,2,3,3,Codeblocks,GBD,Inspecting the execution by means of the debugger,LS,LS,,No,understand code logic,,recognize anomalous / unexpected behavior,,identify points of attack,problem,make hypothesis,result,tamper with code statically,,evaluate and select alternative step / revise attack strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,number-3.4.zip,6,1,5,0,1,1,1,Codeblocks + vscode,,Reading and understanding the source code,LS,LS,,Yes,prepare the environment,codeblocks + vscode,identify output generation,,understand code logic,printf,tamper with code statically,printf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,number-3.2.zip,70,20,50,0,4,4,4,Clion,LLDB,Changing the execution by means of the debugger,LS,LS,,No,identify output generation,,make hypothesis,main,understand code logic,convert(),tamper with code statically,,make hypothesis on reasons for attack failure,unit(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,number-3.3.zip,40,25,15,0,1,1,1,CLion,Integrated CLion,Reading and understanding the source code,LS,LS,,Yes,recognize anomalous / unexpected behavior,,understand code logic,,understand code logic,string *p,make hypothesis,,confirm hypothesis,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,arithmetic-3.2.zip,9,3,6,0,1,1,1,CodeBlocks,gdb (integrato in codeblocks),Inspecting the execution by means of the debugger,LS,LS,Yes,Yes,recognize anomalous / unexpected behavior,,recognize similarity with already analysed protected application,,control flow graph reconstruction,,make hypothesis,,identify output generation,,identify points of attack,,make hypothesis on protection,,defeat protection,,,,,,,,,,,,,,,,,,,,,,,,,
53,number-3.4.zip,70,30,40,0,1,4,5,Clion,GDB in CLion,Inspecting the execution by means of the debugger,LS,LS,Yes,No,analyse attack result,,make hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,arithmetic-3.3.zip,70,30,40,0,2,4,4,CLion,CLion,Inspecting the execution by means of the debugger,LS,LS,,No,recognize anomalous / unexpected behavior,main,understand code logic,problem,identify output generation,problem,tamper with data,result,understand code logic,problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,tictactoe-3.2.zip,60,20,40,0,2,3,3,CLION,GDB,Inspecting the execution by means of the debugger,LS,LS,,Yes,understand code logic,main,recognize anomalous / unexpected behavior,,understand code logic,check,make hypothesis,matrix,understand code logic,check,analyse attack result,,understand code logic,check,tamper with code statically,matrix,analyse attack result,check,evaluate and select alternative step / revise attack strategy,,understand code logic,,understand code logic,tmp,tamper with code statically,,understand code logic,tmp___0,tamper with code statically,,analyse attack result,,reuse attack strategy that worked in the past,,tamper with code statically,,analyse attack result,,,
100,tictactoe-3.2.zip,70,50,20,0,2,2,5,Code Blocks,gdb,Reading and understanding the source code,LS,LS,Yes,No,control flow graph reconstruction,,identify API calls,,identify output generation,,make hypothesis on protection,,limit scope of attack,,tamper with code statically,,make hypothesis on reasons for attack failure,,evaluate and select alternative step / revise attack strategy,,,,,,,,,,,,,,,,,,,,,,,,,
141,tictactoe-3.4.zip,70,10,60,0,1,2,4,CLion,GDB,Reading and understanding the source code,LM,LM,,No,recognize anomalous / unexpected behavior,,understand code logic,main,understand code logic,check,build the attack strategy,check,tamper with code statically,matrix,analyse attack result,,identify points of attack,check ,understand code logic,check,,,,,,,,,,,,,,,,,,,,,,,,
5,number-3.4.zip,46,20,25,1,2,1,2,CLion,Integrato,Reading and understanding the source code,LM,LM,,Yes,recognize anomalous / unexpected behavior,,understand code logic,,identify points of attack,line,tamper with code statically,main(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,arithmetic-3.2.zip,30,10,20,0,1,1,2,Visual Studio 2019,VS Debugger,Inspecting the execution by means of the debugger,LM,LM,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,control flow graph reconstruction,,limit scope of attack,problem,recognize similarity with already analysed protected application,,make hypothesis,,tamper with code statically,,analyse attack result,,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,
35,arithmetic-3.2.zip,70,5,60,5,1,2,1,devc++,30,Inspecting the execution by means of the debugger,LM,LM,,Yes,control flow graph reconstruction,function problem(),identify points of attack,Where variable result is compared to tmp___3 that is the correct result,tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,arithmetic-3.3.zip,70,50,20,0,1,4,5,Visual Studio,integrated debugger in Visual Studio,Reading and understanding the source code,LM,LM,,No,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,"main(), problem()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,arithmetic-3.4.zip,60,50,10,0,4,3,3,codeblocks,gcc debugger,Reading and understanding the source code,LM,LM,,Yes,understand code logic,result,make hypothesis,problem,tamper with code statically,result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,tictactoe-3.3.zip,70,10,60,0,4,3,2,SublimeText,gdb,Inspecting the execution by means of the debugger,LM,LM,,No,understand code logic,,identify output generation,disp_matrix,limit scope of attack,check,make hypothesis,_5_check_next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,arithmetic-3.3.zip,50,10,40,0,4,5,4,clion,clion,Inspecting the execution by means of the debugger,LM,LM,,Yes,control flow graph reconstruction,main(),make hypothesis,problem(),control flow graph reconstruction,problem(),tamper with data, _5_problem_next,tamper with code statically,problem(),analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,number-3.3.zip,70,20,50,0,3,3,4,Clion,gdb,Inspecting the execution by means of the debugger,LM,LM,,No,prepare the environment,,understand code logic,main,understand code logic,convert,make hypothesis,convert,limit scope of attack,convert ,control flow graph reconstruction,rval,identify output generation,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,tictactoe-3.4.zip,70,5,65,0,1,3,3,CLion,LLDB,Inspecting the execution by means of the debugger,LM,LM,,No,identify points of attack,matrix,understand code logic,check,identify points of attack,,tamper with code statically,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,arithmetic-3.4.zip,70,30,40,0,5,3,5,CLion,Integrato (MinGW),Reading and understanding the source code,LM,LM,,No,recognize anomalous / unexpected behavior,,make hypothesis,"tmp___0, tmp___1, tmp___2 e tmp___3",tamper with code statically,"tmp___0, tmp___1, tmp___2, tmp___3 value, result e right",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,number-3.4.zip,45,3,42,0,1,2,2,CLion,GDB inside CLion,Inspecting the execution by means of the debugger,LM,LM,,Yes,recognize anomalous / unexpected behavior,,identify output generation,,limit scope of attack,number function,understand code logic,"number function, p variable",limit scope of attack,name1 variable,tamper with code statically,printf of name1[...],analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,number-3.3.zip,20,3,15,2,1,1,1,Code::Blocks,gdb,Changing the execution by means of the debugger,LM,LM,,Yes,prepare the environment,,understand code logic,,control flow graph reconstruction,,identify output generation,,recognize anomalous / unexpected behavior,,build the attack strategy,,tamper with code statically,"number(), name1",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
69,arithmetic-3.3.zip,20,5,15,0,2,3,2,codeblock,si,Inspecting the execution by means of the debugger,LM,LM,,Yes,understand code logic,,identify points of attack,problem(),tamper with code statically,problem(),make hypothesis on reasons for attack failure,"problem(), result",evaluate and select alternative step / revise attack strategy,"problem(), result",control flow graph reconstruction,"problem(), result",tamper with code statically,,analyse attack result,"problem(), result",,,,,,,,,,,,,,,,,,,,,,,,
129,arithmetic-3.4.zip,40,10,30,0,1,1,2,CLION,GDB,Inspecting the execution by means of the debugger,MS,MS,,Yes,recognize anomalous / unexpected behavior,problem(),make hypothesis,problem(),understand code logic,tmp__2,tamper with code statically,result,analyse attack result,result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,tictactoe-3.3.zip,60,25,30,5,5,5,3,Visual Studio 2019,Visual Studio 2019,Inspecting the execution by means of the debugger,MS,MS,,Yes,prepare the environment,,understand code logic,,limit scope of attack,check,understand code logic,check,identify points of attack,"tmp, tmp___0",tamper with code statically,check,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,arithmetic-3.4.zip,70,20,50,0,4,3,5,VisualStudio2019,,Inspecting the execution by means of the debugger,MS,MS,,No,prepare the environment,,recognize anomalous / unexpected behavior,,make hypothesis,result,understand code logic,"encoder(8, encodeStrings_litStr8);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,tictactoe-3.3.zip,20,20,0,0,1,1,1,CLion,,Reading and understanding the source code,MS,MS,,Yes,recognize anomalous / unexpected behavior,main,identify points of attack,check,understand code logic,check,identify output generation,matrix[i][j],tamper with code statically,tmp   ,tamper with code statically,tmp___0,tamper with code statically,matrix[i][j],,,,,,,,,,,,,,,,,,,,,,,,,,
22,arithmetic-3.3.zip,35,25,10,0,3,5,5,,gdb (by terminal),Reading and understanding the source code,MS,MS,,No,recognize anomalous / unexpected behavior,main(),understand code logic,"main(), problems()",identify assets by naming scheme,problems(),make hypothesis,problems(),confirm hypothesis,problems(),tamper with code statically,problems(),analyse attack result,problems(),,,,,,,,,,,,,,,,,,,,,,,,,,
119,number-3.3.zip,38,5,30,3,1,1,3,CodeBlocks,MinGW32 gdb,Inspecting the execution by means of the debugger,MS,MS,,Yes,recognize anomalous / unexpected behavior,,make hypothesis,,understand code logic,,limit scope of attack,number,understand code logic,number,tamper with code statically,check,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,arithmetic-3.4.zip,70,10,60,0,2,2,4,Visual Studio 2019,Visual Studio debugger,Inspecting the execution by means of the debugger,MS,MS,Yes,No,prepare the environment,,identify output generation,main,identify output generation,problem,limit scope of attack,encoder,make hypothesis,encoder,tamper with code statically,encoder,evaluate and select alternative step / revise attack strategy,penalise,identify output generation,penalise,evaluate and select alternative step / revise attack strategy,opnum,,,,,,,,,,,,,,,,,,,,,,
105,arithmetic-3.4.zip,70,2,68,0,1,3,5,Codeblocks,GNU GCC,Inspecting the execution by means of the debugger,MS,MS,,No,prepare the environment,,recognize anomalous / unexpected behavior,,tamper with code statically,problem,analyse attack result,,tamper with code statically,problem,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
