id,Score,Have you ever worked as a professional programmer (in industry or in a computer house)?,What is your cumulative programming experience in C? ,How long have you been using an IDE for C programming? ,What is your cumulative programming experience in assembly?,What is your cumulative programming experience with reverse engineering? ,Can you do the following actions on a C debugger (multiple answers allowed)?,Can you do the following actions on an assembly-level debugger (multiple answers allowed)?,1. What is the output of the following code?  ,2. Which of the following set of statements is correct?,3. By default a real number is treated as,"4. How many times the following program will print ""Jamboree""? ",5. Is it true that too many recursive calls may result into stack overflow?,6. What is the output of the following program?,7. Predict the output of the following program.,8. Predict the output of the following program ,9. The library function used to reverse the string is,10. Malloc( ) allocates memory from the heap and not from the stack,1. What will be output of the following program?,2. What is the output of the following function?,3. What will be the output of  the following program? ,4. What will be the output of the following program? ,5. What is the output of the following piece of code? ,6. What is the output of following program? ,7. What is the output of the following program? ,8. What would be the output if option = 'H' ?,9. What is the output of following piece of program?,10. What is the output of following program?,11. what is the output of following program?,12. How many times the below loop will get executed?  ,13. What is the output of following program? ,"14. Referring to the sample here below, what is MAX_NUM?"
60,10,"Yes, part-time",1 Year,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern int a c;,Double,Until the stack doesn't overflow,0.0,25,Ink,Sales,None of the above,1,30.0,3,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,0 12,102.0,1,B E,MAX_NUM is a preprocessor macro.
121,12,"Yes, part-time",2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",,Garbage values,Typedef long a; extern int a c;,Float,Until the stack doesn't overflow,1.0,11,Ack,Sales,None of the above,1,10.0,3,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 11,120.0,10,error,MAX_NUM is a precompiler constant.
77,18,No,2 Years,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,0.0,2,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
139,19,No,2 Years,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,Revstr( ),1,10.0,2,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
38,20,"Yes, full-time",> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),0,10.0,5,20 30 40 50,ls,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,B C E,MAX_NUM is a preprocessor macro.
82,18,"Yes, full-time",> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,3,20 30 40 50,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,B E,MAX_NUM is a precompiler constant.
29,16,No,2 Years,1 Year,6 Months,< 3 Months,Add breakpoints,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,5,21 31 41 51,Compilation Error,A B C,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,102.0,1,error,MAX_NUM is a preprocessor macro.
25,9,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise",Garbage values,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Ack,Sales,None of the above,1,30.0,3,11 21 31 41,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 11,120.0,infinite loop,B E,MAX_NUM is a preprocessor macro.
148,11,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise",Garbage values,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,25,Let,Sales,Strrev( ),1,0.0,3,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 11,,1,error,MAX_NUM is a precompiler constant.
124,12,No,2 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern int a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,Error,Ack,Sales,Strrev( ),1,20.0,2,20 30 40 50,ls,error,11,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,1,B E,MAX_NUM is an integer variable.
68,16,No,1 Year,6 Months,< 3 Months,6 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Revstr( ),1,10.0,5,21 31 41 51,ls,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
1,14,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Long double,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strstr( ),1,30.0,4,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,10,error,MAX_NUM is a preprocessor macro.
74,14,No,1 Year,1 Year,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise",Error,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,,Sales,Strrev( ),1,10.0,3,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
58,19,No,2 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Execute the program stepwise, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,Revstr( ),1,10.0,5,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
37,17,"Yes, part-time",1 Year,> 3 Years,6 Months,1 Year,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,11,,Sales,,1,10.0,5,,ls,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,120.0,1,error,MAX_NUM is a precompiler constant.
100,11,No,< 3 Months,6 Months,< 3 Months,< 3 Months,,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,30.0,2,11 21 31 41,Compilation Error,A B C,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,infinite loop,error,MAX_NUM is a precompiler constant.
113,6,No,1 Year,Never,6 Months,< 3 Months,Add breakpoints,,Garbage values,Typedef long a; extern int a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Let,Sales man,None of the above,0,30.0,2,20 30 40 50,skills,A B C,12,1 2 3 4 5 6 ...................infinite,Hello,1 1 1 10,1 11,102.0,infinite loop,error,MAX_NUM is a precompiler constant.
27,14,"Yes, part-time",2 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,3,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,120.0,10,B E,MAX_NUM is a precompiler constant.
134,10,No,2 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",,Error,Typedef long a; extern a c;,Depends on the memory model you are using,Infinite number of times,0.0,Error,Ink,Sales\0man,None of the above,1,30.0,2,10 20 30 40,Compilation Error,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
72,19,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Double,Until the stack doesn't overflow,1.0,Garbage value,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,ls,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,B E,MAX_NUM is a precompiler constant.
35,14,No,< 3 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack","Add breakpoints, Execute the program stepwise, Inspect the program variables",0 0.000000,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,None of the above,1,10.0,2,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,120.0,11,B E,MAX_NUM is a preprocessor macro.
17,15,"Yes, part-time",1 Year,1 Year,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Double,Infinite number of times,1.0,25,Ink,Sales,Strrev( ),1,30.0,5,11 21 31 41,Compilation Error,A B C,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,10,error,MAX_NUM is a precompiler constant.
47,14,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ite,Sales,None of the above,0,10.0,3,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,10,,MAX_NUM is a preprocessor macro.
65,21,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
145,21,No,> 3 Years,Never,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
130,11,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,2,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,22.0,infinite loop,error,MAX_NUM is a precompiler constant.
129,12,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Error,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Let,Sales,Strrev( ),1,10.0,3,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,11,B E,MAX_NUM is a precompiler constant.
125,13,"Yes, part-time",6 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Error,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,,3,21 31 41 51,ls,error,,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,11,error,MAX_NUM is a precompiler constant.
59,12,No,6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern a c;,Float,Infinite number of times,,11,,Sales,None of the above,1,10.0,3,20 30 40 50,Compilation Error,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,,error,MAX_NUM is a preprocessor macro.
105,20,No,> 3 Years,> 3 Years,> 3 Years,2 Years,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,ls,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,B E,MAX_NUM is a precompiler constant.
131,13,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),0,10.0,3,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,22.0,11,error,MAX_NUM is a preprocessor macro.
5,9,No,6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Error,Typedef long a; extern int a c;,Float,Until the stack doesn't overflow,1.0,25,Ack,Sales man,,0,30.0,3,10 20 30 40,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,10,error,MAX_NUM is a precompiler constant.
141,15,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Long double,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,30.0,3,20 30 40 50,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a linker constant.
136,12,No,6 Months,6 Months,6 Months,< 3 Months,"Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack",0 0.000000,Typedef long a; extern a int c:,Float,Infinite number of times,1.0,25,Ite,Sales man,None of the above,1,10.0,2,21 31 41 51,ls,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,infinite loop,B E,MAX_NUM is a preprocessor macro.
151,13,No,1 Year,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise",Garbage values,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,Error,Ink,Sales,Strrev( ),1,30.0,3,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,infinite loop,B C E,MAX_NUM is a preprocessor macro.
102,15,No,< 3 Months,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern a int c:,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,11,Ink,Sales,None of the above,1,10.0,2,20 30 40 50,ls,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,102.0,1,error,MAX_NUM is a preprocessor macro.
49,7,No,6 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",None of the above,Typedef long a; extern int a c;,Double,Until the stack doesn't overflow,1.0,25,Ack,Sales man,None of the above,1,30.0,3,10 20 30 40,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 11,102.0,1,B C E,MAX_NUM is a precompiler constant.
11,10,No,2 Years,2 Years,6 Months,2 Years,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern a c;,Depends on the memory model you are using,Infinite number of times,1.0,25,Ite,Sales,Strrev( ),1,0.0,2,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,22.0,1,error,MAX_NUM is a precompiler constant.
61,19,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,5,11 21 31 41,ls,error,11,1 2 3 4 5 6 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,11,error,MAX_NUM is a precompiler constant.
48,11,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern int a c;,Depends on the memory model you are using,Infinite number of times,1.0,25,Ite,Sales,Strrev( ),1,10.0,3,20 30 40 50,Compilation Error,error,none of these,1 2 3 4 5 5 ...................infinite,Hello,1 1 1 10,1 11,120.0,10,error,MAX_NUM is an integer variable.
138,19,"Yes, part-time",> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,2,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
90,23,No,1 Year,1 Year,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,ls,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
26,9,"Yes, part-time",1 Year,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern int a c;,Float,Until the stack doesn't overflow,1.0,25,Ite,Sales,Strrev( ),1,30.0,3,21 31 41 51,ls,A B C,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 11,102.0,11,error,MAX_NUM is a precompiler constant.
46,13,No,> 3 Years,> 3 Years,1 Year,2 Years,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,3,20 30 40 50,Compilation Error,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,102.0,1,B E,MAX_NUM is a preprocessor macro.
28,14,"Yes, part-time",< 3 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern int a c;,Double,Infinite number of times,1.0,25,Ite,Sales,Strrev( ),1,30.0,2,11 21 31 41,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
137,13,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",,Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,0.0,4,20 30 40 50,ls,A B C,,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,102.0,11,error,MAX_NUM is a precompiler constant.
143,16,"Yes, part-time",< 3 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,11,Ink,Sales,Revstr( ),1,10.0,4,21 31 41 51,Compilation Error,error,13,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,1,B E,MAX_NUM is a preprocessor macro.
4,17,No,2 Years,2 Years,1 Year,< 3 Months,"Inspect the call stack, Inspect the program variables","Add breakpoints, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a int c:,Double,Until the stack doesn't overflow,1.0,11,Ite,Sales,Revstr( ),1,10.0,5,11 21 31 41,ls,error,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,B E,MAX_NUM is a precompiler constant.
56,10,No,2 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Error,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ite,Sales,Strstr( ),1,10.0,3,21 31 41 51,Compilation Error,A B C,13,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,100.0,1,error,MAX_NUM is a precompiler constant.
150,22,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
123,21,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,0 11,120.0,10,error,MAX_NUM is a preprocessor macro.
127,21,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,5,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,0 11,120.0,10,error,MAX_NUM is a preprocessor macro.
70,21,No,6 Months,> 3 Years,> 3 Years,2 Years,"Add breakpoints, Execute the program stepwise",Inspect the call stack,0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,Revstr( ),1,10.0,5,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
87,8,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Ite,Sales,None of the above,1,0.0,2,11 21 31 41,ls,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,102.0,infinite loop,B C E,MAX_NUM is a precompiler constant.
126,10,No,6 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",0 0.000000,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Let,Sales man,Strrev( ),1,0.0,2,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,1,B E,MAX_NUM is a linker constant.
